"local_id","species","collector","taxonomist","day","month","year","lat","long","location","country","IT","sex","plant_genus","plant_species","doi","Contributor_name","Contributor_last_name","ORCID"
242,"Andrena?? sp","I. Bartomeus","",25,5,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.62,"hembra","Cistus ","albidus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
243,"Andrena  agilissima","I. Bartomeus","L.O. Aguado",25,5,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.7,"hembra","Thymelea ","hirsuta","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
244,"Andrena agilissima","I. Bartomeus","L.O. Aguado",26,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.31,"macho","Thymelea ","hirsuta","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
245,"Andrena colletiformis","I. Bartomeus","L.O. Aguado",28,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.7,"hembra","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
246,"Andrena senecionis","I. Bartomeus","L.O. Aguado",13,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.17,"hembra","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
247,"Andrena senecionis","I. Bartomeus","L.O. Aguado",13,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2,"hembra","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
248,"Andrena senecionis","I. Bartomeus","L.O. Aguado",21,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.22,"hembra","Urospermum","picroides","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
249,"Andrena sp","I. Bartomeus",NA,26,4,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.11,"hembra","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
250,"Andrena villipes","I. Bartomeus","L.O. Aguado",NA,4,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",2.39,"hembra","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
251,"Andrena villipes","I. Bartomeus","L.O. Aguado",21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",2.38,"hembra","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
252,"Andrena villipes","I. Bartomeus","L.O. Aguado",28,4,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",2.62,"hembra","Cistus ","albidus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
253,"Andrena taraxaci","I. Bartomeus","L.O. Aguado",28,4,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",1.83,"hembra","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
254,"Andrena taraxaci","I. Bartomeus","L.O. Aguado",13,5,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",1.91,"hembra","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
255,"Andrena lepida","I. Bartomeus","L.O. Aguado",13,5,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",1.87,"hembra","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
256,"Andrena sp","I. Bartomeus",NA,13,5,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",1.51,"macho","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
257,"Andrena sp","I. Bartomeus",NA,21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",1.46,"hembra","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
258,"Andrena taraxaci","I. Bartomeus","L.O. Aguado",23,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",1.69,"macho","Carpobrotus ","edulis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
259,"Andrena cinerea","I. Bartomeus","L.O. Aguado",21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",1.55,"macho","Cistus ","salvifolius","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
260,"Andrena sp","I. Bartomeus",NA,21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",1.89,"macho","Cistus ","salvifolius","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
261,"Andrena lepida","I. Bartomeus","L.O. Aguado",21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",2.19,"hembra","Cistus ","monpeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
262,"Panurgus banksianus","I. Bartomeus","L.O. Aguado",27,4,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",2.34,"macho","Urospermum","picroides","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
263,"Panurgus banksianus","I. Bartomeus","L.O. Aguado",NA,5,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.07,"hembra","Urospermum","picroides","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
264,"Anthidium  sticticum","I. Bartomeus",NA,21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",3.64,"macho","Carpobrotus ","edulis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
265,"Anthidium  sticticum","I. Bartomeus",NA,8,6,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",3.58,"macho","Carpobrotus ","edulis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
266,"Anthidium  sticticum","I. Bartomeus",NA,21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",3.53,"hembra","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
267,"Anthidium  sticticum","I. Bartomeus",NA,6,7,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",3.52,"macho","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
268,"Anthidium  sticticum","I. Bartomeus",NA,8,6,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",3.59,"hembra","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
269,"Anthidium  sticticum","I. Bartomeus",NA,21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",3.37,"hembra","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
270,"Anthidium  sticticum","I. Bartomeus",NA,21,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",3.38,"macho","Cistus ","albidus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
271,"Anthidium  septemspinosum","I. Bartomeus","L.O. Aguado",29,6,2004,"42.3202451","3.314970799999969","Cap de creus","Spain",3.8,"macho","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
272,"Anthidium  septemspinosum","I. Bartomeus","L.O. Aguado",26,6,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",3.47,"hembra","Galactites","tomentosa","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
273,"Anthidium  septemspinosum","I. Bartomeus","L.O. Aguado",26,6,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",3.27,"macho","Opuntia","sp","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
274,"Anthidium  sp","I. Bartomeus",NA,27,5,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",3.3,"macho","Sedum","sp","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
275,"Megachile sp","I. Bartomeus",NA,29,5,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",2.18,"macho","Sedum","sp","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
276,"Osmia sp","I. Bartomeus",NA,14,5,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",4.07,"hembra","Cistus ","albidus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
277,"Osmia aurulenta","I. Bartomeus","L.O. Aguado",14,5,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",2.64,"hembra","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
278,"Dasypoda crassicornis","I. Bartomeus","C.Molina",22,5,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",2.51,"macho","Carpobrotus ","edulis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
279,"Andrena lepida","I. Bartomeus","L.O. Aguado",27,5,2006,"42.3202451","3.314970799999969","Cap de creus","Spain",2.11,"hembra","Cistus ","albidus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
280,"Andrena lepida","I. Bartomeus","L.O. Aguado",NA,5,2007,"42.3202451","3.314970799999969","Cap de creus","Spain",2.12,"hembra","Cistus ","albidus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
281,"Andrena lepida","I. Bartomeus","L.O. Aguado",22,7,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",2.17,"hembra","Cistus ","salvifolius","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
282,"Andrena fabrella","I. Bartomeus","L.O. Aguado",29,5,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.87,"hembra","Cistus ","salvifolius","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
283,"Andrena fabrella","I. Bartomeus","L.O. Aguado",29,5,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.3,"hembra","Alyssum ","maritimum","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
284,"Andrena sp","I. Bartomeus",NA,14,6,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.63,"macho","Cistus ","monspeliensis","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
285,"Andrena cinerea","I. Bartomeus","L.O. Aguado",14,6,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.46,"macho","Sonchus ","tenerrimus","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
286,"Andrena cinerea","I. Bartomeus","L.O. Aguado",14,6,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",1.75,"macho","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
287,"Chalicodoma pyrenaica","I. Bartomeus","L.O. Aguado",22,7,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",4.24,"hembra","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
288,"Chalicodoma pyrenaica","I. Bartomeus","L.O. Aguado",24,7,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",4.56,"hembra","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
289,"Chalicodoma pyrenaica","I. Bartomeus","L.O. Aguado",22,7,2005,"42.3202451","3.314970799999969","Cap de creus","Spain",4,"hembra","Lavandula ","stoechas","10.1007/s00442-007-0946-1","Ignasi","Bartomeus","0000-0001-7893-4389"
