Species;Abd. on conventional farms;Abd. on organic farms;Abd. at natural sites;Inter-tegular distance (mm);Median day of year of flight season;Flight-season duration;Nest location;Nesting behaviour;Sociality/ parasitic;Lecty
Agapostemon texanus;;9;1;1.98;189;133.4;below;excavate;solitary;poly
Andrena angustitarsata;2;4;;1.80;92;51.8;below;excavate;solitary;poly
Andrena anisochlora;1;;1;1.93;72;NA;below;excavate;solitary;poly
Andrena atypica;;1;;1.38;98;NA;below;excavate;solitary;oligo
Andrena auricoma;;1;3;1.62;99;45.3;below;excavate;solitary;poly
Andrena candida;1;11;1;1.65;127;86.6;below;excavate;solitary;poly
Andrena cerasifolii;1;2;;2.65;113;82.8;below;excavate;solitary;poly
Andrena cercocarpi;1;3;;1.66;113.5;NA;below;excavate;solitary;poly
Andrena chalybioides;;8;;1.75;UK;NA;below;excavate;solitary;oligo
Andrena chlorogaster;9;23;6;1.24;91.5;50.2;below;excavate;solitary;poly
Andrena cressonii;5;3;;2.15;111;NA;below;excavate;solitary;poly
Andrena cuneilabris;;11;;1.78;73;NA;below;excavate;solitary;oligo
Andrena hypoleuca;;;1;1.70;113;NA;below;excavate;solitary;UK
Andrena misella;1;1;1;1.93;88;NA;below;excavate;solitary;poly
Andrena nigrocaerulea;1;;4;1.91;92.5;NA;below;excavate;solitary;poly
Andrena orthocarpi;10;19;1;1.48;81.5;NA;below;excavate;solitary;poly
Andrena pallidifovea;;1;;2.01;128;NA;below;excavate;solitary;oligo
Andrena pensilis;;1;;1.64;115;NA;below;excavate;solitary;oligo
Andrena piperi;16;55;;1.38;92;66.5;below;excavate;solitary;poly
Andrena semipunctata;;2;;1.95;89;NA;below;excavate;solitary;oligo
Andrena suavis;;;3;1.51;64.5;NA;below;excavate;solitary;oligo
Andrena subaustralis;;2;;2.16;98;47.9;below;excavate;solitary;oligo
Andrena subchalybea;;11;4;1.56;116;NA;below;excavate;solitary;oligo
Andrena subtilis;1;7;2;2.20;UK;NA;below;excavate;solitary;poly
Andrena w-scripta;;5;4;1.74;102;73.8;below;excavate;solitary;poly
Anthidiellum ehrhorni;;;1;2.39;150;NA;above;rent;solitary;poly
Anthidiellum notatum;;;2;2.15;230;111.0;above;rent;solitary;poly
Anthidium mormonum;;;1;2.29;UK;NA;above;rent;solitary;poly
Anthidium utahense;;;1;2.05;134.5;NA;above;rent;solitary;poly
Anthophora californica;;;6;3.58;123;NA;below;excavate;solitary;poly
Anthophora curta;;;2;2.68;214;116.9;below;excavate;solitary;poly
Anthophora edwardsii;2;5;3;4.08;90;NA;below;excavate;solitary;poly
Anthophora pacifica;;;1;4.24;60;NA;below;excavate;solitary;poly
Anthophora urbana;7;2;22;2.98;202;135.8;below;excavate;solitary;poly
Ashmeadiella aridula;;;2;1.25;217;85.8;UK;rent;solitary;poly
Bombus californicus;32;11;37;3.61;151;102.3;mix;rent;social;poly
Bombus crotchii;;1;;5.35;140.5;NA;below;rent;social;poly
Bombus melanopygus;13;40;57;3.86;104.5;75.5;mix;rent;social;poly
Bombus vosnesenskii;111;365;89;3.55;142;110.2;below;rent;social;poly
Calliopsis fracta;;;20;1.46;133;NA;below;excavate;solitary;oligo
Ceratina acantha;9;11;6;1.15;142;148.3;above;excavate;solitary;poly
Ceratina arizonensis;;2;83;0.85;159;124.9;above;excavate;solitary;poly
Ceratina dallatorreana;1;4;;1.29;174;98.5;above;excavate;solitary;poly
Ceratina nanula;;7;12;1.02;167;NA;above;excavate;solitary;poly
Ceratina punctigena;;;1;1.62;131;NA;above;excavate;solitary;poly
Ceratina sequoiae;;;5;1.48;147;NA;above;excavate;solitary;oligo
Ceratina tejonensis;;;2;1.61;99;NA;above;excavate;solitary;poly
Chelostoma phaceliae;;;7;1.08;133;NA;above;rent;solitary;oligo
Diadasia bituberculata;;;1;3.30;127;NA;below;excavate;solitary;oligo
Diadasia consociata;1;;;1.85;199;96.6;below;excavate;solitary;oligo
Diadasia enavata;;1;;2.74;225;64.4;below;excavate;solitary;oligo
Dianthidium ulkei;;;1;1.89;217;NA;mix;rent;solitary;oligo
Eucera (Synhalonia) actuosa;33;6;51;2.73;117;68.0;below;excavate;solitary;poly
Eucera (Synhalonia) amsinckiae;2;6;2;3.14;94.5;36.0;below;excavate;solitary;oligo
Eucera (Synhalonia) frater;4;7;14;3.90;126;50.4;below;excavate;solitary;poly
Eucera (Synhalonia) lunata;;1;2;3.77;79.5;NA;below;excavate;solitary;poly
Eucera (Synhalonia) stretchii;;1;;3.07;118;NA;below;excavate;solitary;poly
Eucera (Synhalonia) virgata;;;2;3.02;UK;NA;below;excavate;solitary;poly
Habropoda tristissima;;1;11;4.26;117.5;43.1;below;excavate;solitary;poly
Halictus farinosus;10;20;12;2.13;157;158.8;below;excavate;social;poly
Halictus ligatus;47;148;51;1.53;188;120.1;below;excavate;social;poly
Halictus tripartitus;283;350;333;1.20;169;116.5;below;excavate;social;poly
Heriades occidentalis;;;1;1.40;158;NA;above;rent;solitary;poly
Hesperapis ilicifoliae;;;3;1.43;150.5;NA;below;excavate;solitary;oligo
Hoplitis albifrons;;;2;2.63;133;NA;above;rent;solitary;poly
Hoplitis fulgida;;1;;1.51;100.5;NA;above;rent;solitary;poly
Hoplitis grinnelli;;;1;1.28;116;NA;above;rent;solitary;poly
Hoplitis howardi;;;2;1.15;151;NA;above;rent;solitary;oligo
Hoplitis hypocrita;2;2;;2.59;130;NA;above;rent;solitary;poly
Hoplitis producta;;;12;1.27;126.5;NA;above;rent;solitary;poly
Hoplitis sambuci;;;1;2.23;137.5;NA;above;rent;solitary;poly
Hylaeus calvus;;;6;1.16;130;NA;above;rent;solitary;poly
Hylaeus rudbeckiae;3;35;12;0.97;136;NA;above;rent;solitary;poly
Hylaeus verticalis;;1;3;1.44;120;NA;above;rent;solitary;poly
Lasioglossum (Dialictus) incompletum;234;185;139;0.94;171;100.1;below;excavate;social;poly
Lasioglossum (Lasioglossum) mellipes;;9;1;2.08;128;NA;below;excavate;solitary;poly
Lasioglossum (Lasioglossum) titusi;1;4;1;1.93;135.5;195.2;below;excavate;solitary;poly
Megachile angelarum;;1;22;2.17;161;NA;above;rent;solitary;poly
Megachile apicalis;9;4;49;2.31;189;63.3;above;rent;solitary;oligo
Megachile coquilletti;1;;10;3.36;218;102.6;above;rent;solitary;poly
Megachile frugalis;;;2;2.65;173;NA;above;rent;solitary;poly
Megachile gentilis;;1;4;2.63;243.5;109.8;above;rent;solitary;poly
Megachile montivaga;;1;;2.68;189;NA;mix;rent;solitary;poly
Megachile onobrychidis;;1;;2.58;225;100.7;mix;rent;solitary;poly
Megachile parallela;;1;1;3.27;218;NA;below;rent;solitary;poly
Megachile rotundata;;1;1;2.20;176.5;170.2;mix;rent;solitary;oligo
Melecta edwardsii;;;1;3.56;98;NA;below;NA;parasite;NA
Melissodes lupina;6;1;13;2.20;216;85.9;below;excavate;solitary;oligo
Melissodes robustior;;2;6;2.88;221;45.7;below;excavate;solitary;oligo
Melissodes stearnsi;4;;69;2.04;216;66.6;below;excavate;solitary;oligo
Melissodes tepida;1;27;;2.21;200;84.0;below;excavate;solitary;poly
Osmia aglaia;;;2;2.20;139;NA;above;rent;solitary;poly
Osmia atrocyanea;;;6;2.82;131;NA;above;rent;solitary;poly
Osmia bridwelli;;;4;3.22;136.5;NA;UK;rent;solitary;UK
Osmia cara;;;1;3.07;133;NA;UK;rent;solitary;UK
Osmia coloradensis;;1;5;2.31;136;NA;above;rent;solitary;oligo
Osmia cyanella;;;7;2.45;129;NA;above;rent;solitary;UK
Osmia glauca;;;2;1.61;119;NA;above;rent;solitary;oligo
Osmia granulosa;;1;9;2.06;142;43.8;UK;rent;solitary;UK
Osmia laeta;;2;3;1.95;136;NA;above;rent;solitary;poly
Osmia montana;;;2;2.49;137;NA;above;rent;solitary;oligo
Osmia nemoris;4;6;39;2.21;128.5;55.5;mix;rent;solitary;poly
Osmia nigrifrons;;;1;2.49;UK;NA;above;rent;solitary;oligo
Osmia regulina;;1;12;1.98;143;NA;above;rent;solitary;poly
Panurginus nigrellus;;34;11;1.32;95;NA;below;excavate;solitary;poly
Peponapis pruinosa;;14;;3.13;184;NA;below;excavate;solitary;oligo
Perdita heliotropii;;;3;0.87;206.5;NA;below;excavate;solitary;oligo
Protosmia rubifloris;;1;15;1.47;113;58.6;above;rent;solitary;poly
Stelis montana;;;1;2.29;134.5;NA;above;NA;parasite;NA
Triepeolus timberlakeii;;;1;1.71;148;NA;below;NA;parasite;NA
Xeromelecta californica;;1;;2.15;182.5;150.6;below;NA;parasite;NA
Xylocopa tabaniformis;;1;;5.84;128.5;99.0;above;excavate;solitary;poly